Index,Time,watch_data_wheel[0],watch_data_wheel[1],watch_data_w_torque[0],watch_data_w_torque[1]
0,0.000000,0,0,0,0
1,0.001379,0,0,0,0
2,0.002354,0,0,0,0
3,0.003360,0,0,0,0
4,0.004351,0,0,0,0
5,0.005375,0,0,0,0
6,0.006350,0,0,0,0
7,0.007355,0,0,0,0
8,0.008359,0,0,0,0
9,0.009351,0,0,0,0
10,0.010376,0,0,0,0
11,0.011351,0,0,0,0
12,0.012356,0,0,0,0
13,0.013347,0,0,0,0
14,0.014353,0,0,0,0
15,0.015348,0,0,0,0
16,0.016353,0,0,0,0
17,0.017357,0,0,0,0
18,0.018349,0,0,0,0
19,0.019354,0,0,0,0
20,0.020360,0,0,0,0
21,0.021352,0,0,0,0
22,0.022357,0,0,0,0
23,0.023348,0,0,0,0
24,0.024354,0,0,0,0
25,0.025403,0,0,0,0
26,0.026349,0,0,0,0
27,0.027354,0,0,0,0
28,0.028358,0,0,0,0
29,0.029350,0,0,0,0
30,0.030354,0,0,0,0
31,0.031358,0,0,0,0
32,0.032349,0,0,0,0
33,0.033354,0,0,0,0
34,0.034359,0,0,0,0
35,0.035353,0,0,0,0
36,0.036358,0,0,0,0
37,0.037348,0,0,0,0
38,0.038353,0,0,0,0
39,0.039428,0,0,0,0
40,0.040360,0,0,0,0
41,0.041354,0,0,0,0
42,0.042357,0,0,0,0
43,0.043350,0,0,0,0
44,0.044354,0,0,0,0
45,0.045349,0,0,0,0
46,0.046352,0,0,0,0
47,0.047357,0,0,0,0
48,0.048349,0,0,0,0
49,0.049352,0,0,0,0
50,0.050357,0,0,0,0
51,0.051347,0,0,0,0
52,0.052353,0,0,0,0
53,0.053357,0,0,0,0
54,0.054350,0,0,0,0
55,0.055387,0,0,0,0
56,0.056350,0,0,0,0
57,0.057355,0,0,0,0
58,0.058360,0,0,0,0
59,0.059375,0,0,0,0
60,0.060350,0,0,0,0
61,0.061355,0,0,0,0
62,0.062360,0,0,0,0
63,0.063352,0,0,0,0
64,0.064356,0,0,0,0
65,0.065351,0,0,0,0
66,0.066356,0,0,0,0
67,0.067348,0,0,0,0
68,0.068352,0,0,0,0
69,0.069376,0,0,0,0
70,0.070357,0,0,0,0
71,0.071348,0,0,0,0
72,0.072354,0,0,0,0
73,0.073359,0,0,0,0
74,0.074351,0,0,0,0
75,0.075358,0,0,0,0
76,0.076350,0,0,0,0
77,0.077355,0,0,0,0
78,0.078360,0,0,0,0
79,0.079352,0,0,0,0
80,0.080355,0,0,0,0
81,0.081360,0,0,0,0
82,0.082352,0,0,0,0
83,0.083356,0,0,0,0
84,0.084348,0,0,0,0
85,0.085386,0,0,0,0
86,0.086356,0,0,0,0
87,0.087360,0,0,0,0
88,0.088354,0,0,0,0
89,0.089358,0,0,0,0
90,0.090350,0,0,0,0
91,0.091354,0,0,0,0
92,0.092359,0,0,0,0
93,0.093350,0,0,0,0
94,0.094353,0,0,0,0
95,0.095349,0,0,0,0
96,0.096354,0,0,0,0
97,0.097358,0,0,0,0
98,0.098350,0,0,0,0
99,0.099353,0,0,0,0
100,0.100409,0,0,0,0
101,0.101358,0,0,0,0
102,0.102351,0,0,0,0
103,0.103355,0,0,0,0
104,0.104359,0,0,0,0
105,0.105353,0,0,0,0
