Index,Time,watch_data_xstates[4],watch_data_xstates[6],watch_data_xd[4],watch_data_xd[6],watch_data_error[4],watch_data_error[6],watch_data_u[2],watch_leglenth[0],watch_data_u[3],watch_data_u[0],watch_data_u[1],(status_flag).stand_jump_cmd,(status_flag).moving_jump_cmd,support,watch_fall
0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.001384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.002401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.003430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.004472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.005594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.006785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.007814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.008830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.009858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.011100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.012120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.013149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.014164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.015195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.016210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.017240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.018256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.019285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.020301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.021460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.022546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.023675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.024693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.025725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.026755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.027771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.028800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.029815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.030848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.031863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.032892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.033907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.034935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.035953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.037096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.038170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.039310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.040330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.041361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.042379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.043407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.044425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.045453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.046471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.047500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.048516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.049547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.050563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.051597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.052612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.053772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.054853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.055980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.057000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
